agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;nombre_de_lits_par_site;nombre_de_lits_d_hopitaux;remarques_1;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediateur;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
406;SP;4210;HOPITAL ERASME (ULB);ERASME;ROUTE DE LENNIK 808;1070;BRUXELLES--7;02/555.31.11;www.hopitalerasme.be;F;B;Brussel-Bruxelles;Bruxelles - Brussel;Universitair ziekenhuis - Hôpital universitaire;Privaat - Privé;50;;;;337;39;311;15;44;;20;;;;27;21;;;20;;;;;;;;;;884;1076;;X;X (3);X (1);;X;X;X;;X;X;;;X;X;X;Association programme B3 avec CHU Tivoli La-Louviere (A/096);;;;X;;;X;X;;;X;X;;;;;;X;;X;X;X;X;X;;;X;X;;X;X;X;X;;;
406;SS;2390;HOPITAL ERASME (ULB);CTR;PLACE A. VAN GEHUCHTEN 4;1020;BRUXELLES--2;02/475.12.11;www.ctrbxl.eu;F;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;;;;;;;;;;;29;88;;;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (6 lits);
406;SS;2380;HOPITAL ERASME (ULB);HOPITAL DE REVALIDATION GERIATRIQUE;RUE DE LA CHARRETTE 27;1200;BRUXELLES-20;02/777.75.11;;F;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
409;SP;3350;CLINIQUE NOTRE-DAME DE GRACE;;CHAUSSEE DE NIVELLES 212;6041;GOSSELIES;071/37.90.00;www.cndg.be;F;W;Hainaut;Charleroi;Hôpital général;Privé;;;;;49;10;46;15;54;;;6;;;24;;;;;;20;;;;;;;;224;;Les 6 places k(j) exploité en association avec Groupe de Jolimont - Hôpital de Nivelles (A/346) et Les Feux Follets à Wangenies (A/949);X;Assocation avec Grand Hôpital de Charleroi (A/010);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;X;X;;;;;;;;;X;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
410;SP;3060;CENTRE HOSPITALIER EPICURA;BAUDOUR;RUE LOUIS CATY 136;7331;BAUDOUR;078/15.01.70;www.epicura.be;F;W;Hainaut;Mons;Hôpital général;Privé;;;;;30;36;30;;96;;;;;;;;;24;21;;;;;;;;;;237;569;;X;;;X;X;;;;X;;;;;;;;;;;;;;X;;;;;X;;;;;;X;;X;X;X;;;;X;;;;X;X;;;;;
410;SS;3380;CENTRE HOSPITALIER EPICURA;HORNU;ROUTE DE MONS 63;7301;HORNU;078/15.01.70;;F;W;Hainaut;Mons;;;30;10;;;97;11;120;20;;;;;;;20;;;24;;;;;;;;;;;332;;;X;X (1);;;X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec Grand Hôpital de Charleroi (A/010);;;;;;;X;X;;;X;;;;;;;;;X;X;X;;;;;X;X;Exploité en alternance avec Groupe Jolimont, Site de Warquignies (A/266);;;;;;;
410;SS;3390;CENTRE HOSPITALIER EPICURA;FRAMERIES;RUE DE FRANCE 2;7080;FRAMERIES;078/15.01.70;;F;W;Hainaut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
412;SP;3410;CHR CITADELLE;CITADELLE;BOULEV. DU 12E DE LIGNE 1;4000;LIEGE;04/321.61.11;www.chrcitadelle.be;F;W;Liège;Liège;Hôpital général à caractère universitaire;Public;38;30;;;156;76;218;80;171;;20;;;;53;25;;;;;;;;;;;;;867;902;Les services pédiatrie (E), maternité (M) et fonction hospitalière N* sont exploités en association avec Centre Hospitalier Reine Astrid, Malmedy (A/004);X;X (2);Association avec Clinique CHC Liège (A/152);;X;Association avec CHU de Liège (A/707);;;X;X;;;X;X;;;;;;X;;;X;X;;;X;X;;;;;;X;;X;X;X;X;X;X;;X;X;;X;X;X;;;;
412;SS;3430;CHR CITADELLE;CHATEAU ROUGE;RUE DU GRAND PUITS 47;4040;HERSTAL;04/321.59.05;;F;W;Liège;Liège;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;35;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412;SS;3420;CHR CITADELLE;STE. ROSALIE;RUE DES WALLONS 72;4000;LIEGE;04/321.72.11;;F;W;Liège;Liège;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
525;SP;1940;AZ DAMIAAN;;GOUWELOZESTRAAT 100;8400;OOSTENDE;059/41.40.40;www.azdamiaan.be;N;V;West-Vlaanderen;Oostende;Algemeen ziekenhuis;Privaat;55;5;;;101;;132;33;102;;;;;;25;;;20;20;6;;24;;;;;;;523;;;X ;X (1);;;;;;;X;;X;;X;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met AZ Maria Middelares Gent (E. 017);;;;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;Alternerende werking met het AZ Sint-Jan, Campus Henri Serruys Oostende (E. 049);X;X;X;;;;
528;SP;2170;PSYCHIATRISCH ZIEKENHUIS HEILIGE FAMILIE;;GROENINGEPOORT 4;8500;KORTRIJK;056/24.52.11;www.pzhfamilie.be;N;V;West-Vlaanderen;Kortrijk;Psychiatrisch ziekenhuis;Privaat;75;15;;;;;;;;;24;1;5;;;;;;;;;;;;;;;;120;;De 24 K- bedden, 1 k(d)- plaats en 5 k(n)- bedden worden uitgebaat door de associatie Kinder- & Jeugdpsychiatrie. De associatie baat in Kliniek Heilige Familie Kortrijk 24 K- bedden, 13 k(d)- plaatsen en 5 k(n)- bedden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (geneesmiddelendepot);Associatie ziekenhuisapotheek met AZ Groeninge Kortrijk (E. 396);;;;;;;;;;;;;;;;;
534;SP;2810;CENTRE HOSPITALIER DE WALLONIE PICARDE (CHwapi);NOTRE-DAME;AVENUE DELMEE 9;7500;TOURNAI;069/33.31.11;www.chwapi.be;F;W;Hainaut;Tournai - Mouscron;Hôpital général;Privé;30;;;;60;45;30;;24;;;;;;;;22;52;22;;22;;;;;;;;307;755;;X;X (1);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;X;;X;;;;;;;;;X;X;;;;
534;SS;2830;CENTRE HOSPITALIER DE WALLONIE PICARDE (CHwapi);UNION;RUE DES SPORTS 51;7500;TOURNAI;069/33.31.11;;F;W;Hainaut;Tournai - Mouscron;;;;;;;90;21;120;30;;;;;;;30;;;;;6;;;;;;;;;297;;;X;X (1);X (1);;;;;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU-UCL Namur Mont-Godinne (A/039);;;X;;;;X;X;;;X;;;;;;;X;;X;X;;X;;;;X;X;;X;X;X;;;X (5 lits);
534;SS;3090;CENTRE HOSPITALIER DE WALLONIE PICARDE (Chwapi);IMC;CHAUSSEE ST.-AMAND 80;7500;TOURNAI;069/33.31.11;;F;W;Hainaut;Tournai - Mouscron;;;;;;;;43;;;72;;;;;;;;;;;6;;30;;;;;;;151;;;X;;;;X;;;;;;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;;;;;;;;;;X;X;;;;
536;SP;2090;ALGEMEEN ZIEKENHUIS SINT-JOZEF;;OUDE LIERSEBAAN 4;2390;MALLE;03/380.20.11;www.azsintjozef.be;N;V;Antwerpen;Voorkempen;Algemeen ziekenhuis;Privaat;;;;;68;;95;20;32;;;;;;15;;;20;;;;;;;;;;;250;;;X;X (1);Associatie met ZNA (E. 009)- GZA (E. 099) - UZA (E. 300) ;Associatie met Iridium Kankernetwerk Antwerpen;X;;;;X;;;;;X;;;;;;;;X;;Associatie met AZ Klina Brasschaat (E. 710);;;X;X;X;X;X;X;;X;Associatie met PZ Bethaniënhuis Zoersel (936);X;X;X;X;;;;X;X;;X;X;X;;;;
547;SP;2630;VALISANA;CLINIQUE SANATIA;RUE DU MOULIN 27 - 29;1210;BRUXELLES;02/211.00.40;www.valida.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;70;30;;;;;;;;;;;;;;;;;;;;;;;;;;;100;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
547;SS;1490;VALISANA;CENTRE HOSPITALIER VALIDA;AVENUE JOSSE GOFFIN 180;1082;BRUXELLES--8;02/482.40.00;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;;90;;;;;;;;;85;;;;;;;;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550;SP;1680;AZ GLORIEUX;;GLORIEUXLAAN 55;9600;RONSE;055/23.30.11;www.azglorieux.be;N;V;Oost-Vlaanderen;Oudenaarde;Algemeen ziekenhuis;Privaat;30;7;;;70;;63;18;90;;;2;4;;15;;;35;;6;;;;;;;;;340;;De 2 k(d)- plaatsen en 4 k(n)- bedden worden uitgebaat in functie van de associatie Kinder- & jeugdpsychiatrie regio Gent, Meetjesland en Zuid-Oost Vlaanderen. De bedden en plaatsen worden geëxploiteerd in PC Gent - Sleidinge (E.992);X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E.126)";;X;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
595;SP;1860;AZ NIKOLAAS;SINT-NIKLAAS;MOERLANDSTRAAT 1;9100;SINT-NIKLAAS;03/760.60.60;www.aznikolaas.be;N;V;Oost-Vlaanderen;Sint-Niklaas;Algemeen ziekenhuis;Privaat;30;15;;;241;;212;35;98;;17;3;;;57;;;;;;;;;;;;;;708;810;;X ;X (1);;X  (Iridium Kankernetwerk Antwerpen);X;;;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met het globale zorgprogramma B3 van het Universitair Ziekenhuis Gent (E. 670);;;X;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
595;SS;1870;AZ NIKOLAAS;BEVEREN;OUDE ZANDSTRAAT 99;9120;BEVEREN;03/760.50.11;;N;V;Oost-Vlaanderen;Sint-Niklaas;;;;;;;;;;;48;;;;;;;;;46;;8;;;;;;;;;102;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;X;X;;;;
595;SS;1880;AZ NIKOLAAS;TEMSE;GASTHUISSTRAAT 5;9140;TEMSE;03/780.40.11;;N;V;Oost-Vlaanderen;Sint-Niklaas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;
670;SP;3850;UNIVERSITAIR ZIEKENHUIS GENT;;CORNEEL HEYMANSLAAN 10;9000;GENT;09/332.21.11;www.uzgent.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Universitair ziekenhuis;Openbaar;76;10;;;389;;333;72;48;;15;17;;;31;32;;20;;6;;;;;;;;;1049;;De 15 K- bedden en 17 k(d)- plaatsen worden uitgebaat in functie van de associatie Kinder- & jeugdpsychiatrie regio Gent, Meetjesland en Zuid-Oost Vlaanderen;X;X (3);X (1);X;X;X;X;X;X;X;;X;X;X;X;;;;;X;;;X;X;;;X;X;X;X;X;X;Associatie met AZ Sint-Vincentius Deinze (E. 134);X;;X;X;X;X;X;X;;X;X;;X;X;X;X;;X (6 bedden);
682;SP;1210;AZ MONICA;DEURNE;FLORENT PAUWELSLEI 1;2100;DEURNE;03/320.50.00;www.azmonica.be;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis;Privaat;;;;;96;;80;16;48;;;;;;25;;;;;;;;;;;;;;265;466;;X;X (1);Associatie met ZNA (E. 009)- GZA (E. 099) - UZA (E. 300) ;Associatie met Iridium Kankernetwerk Antwerpen ;;;;;X;;X;;X;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met UZA Edegem (E. 300);;;;;;;X (Associatie met UZA Edegem E. 300);X;;;X;X;X;X;X;X;;X (Het magazijn voor stockage van steriel materiaal gevestigd Herentalsebaan 440 te 2100 Deurne maakt deel uit van de functie ziekenhuisapotheek);;X;X;;X;;;;X;X;Alternerende werking met het ZNA, Campus  Stuivenberg Antwerpen (E. 009) en GZA- Ziekenhuizen, Campus Sint-Vincentius Antwerpen (E. 099);X;X;X;;;;
682;SS;1220;AZ MONICA;ANTWERPEN;HARMONIESTRAAT 68;2018;ANTWERPEN-1;03/240.20.20;;N;V;Antwerpen;Antwerpen;;;30;;;;39;;27;;24;;;;;;;;;81;;;;;;;;;;;201;;;X;;;;X;;;;X;;;;;X;;;;;;;;X ( Associatie met UZA  Edegem E. 300);;;;;;X;X;X;;;;;;X;;;;;;X;;;;;X;X;;;;
689;SP;2040;IMELDA  ZIEKENHUIS;;IMELDALAAN 9;2820;BONHEIDEN;015/50.50.11;www.imelda.be;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;Privaat;30;;;;142;;169;20;69;;;;;;32;;;;20;;20;;;;;;;;502;;;X;X (1);X (1) (PET-CT Centrum Vesalius);;X;;;;X;X;;;X;X;;;;;X;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
706;SP;3340;CLINIQUE SAINT-LUC;;RUE SAINT LUC 8;5004;BOUGE;081/20.91.11;www.st-luc-bouge.be;F;W;Namur;Namur - Dinant;Hôpital général;Privé;30;;;;120;32;90;;30;;;;;;;;;;;;;;;;;;;;302;;;X;X (1);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;X;;;X;X;;Association programme B3 avec CHR de Namur (A/006);;;;;;;X;;X;;;X;;;;;;X;;X;;X;;;;;X;;;X;X;X;;;;
707;SP;3860;CHU DE LIEGE;SART-TILMAN;AVENUE DE L'HOPITAL 1;4000;LIEGE-1 (SART-TILMAN);04/242.52.11;www.chuliege.be;F;W;Liège;Liège;Hôpital universitaire;Public;30;;;;272;42;281;;;;;;;;;;;;;;;;;;;;;;625;1038;;X;X (2);X (1);X;X;X;X;X;X;X;;;X;X;X;;;;;;;;X;X;;;;;;;;;;X;;X;X;X;;;;;X;;;X;X;X;X;;;
707;SS;2840;CHU DE LIEGE;ND BRUYERES;RUE DE GAILLARMONT 600;4032;CHENEE;04/242.52.11;;F;W;Liège;Liège;;;;;;;72;7;46;23;60;;;;;;25;;20;;;;;;;;;;;;253;;;X;X (1);;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;X;;;X;;;;X;X;;;X;;;;;
707;SS;3870;CHU DE LIEGE;OURTHE-AMBLEVE;RUE GRANDFOSSE 31-33;4130;ESNEUX;04/242.52.11;;F;W;Liège;Liège;;;;;;;;;;;;;;;;;;;;20;20;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;SS;2350;CHU DE LIEGE;CNRF;CHAMPS DES ALOUETTES 30;4557;FRAITURE-EN-CONDROZ;085/51.91.11;;F;W;Liège;Huy - Waremme;;;;;;;;;;;;;;;;;;;;20;100;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (5 lits);
709;SP;2690;ZIEKENHUIS GEEL;;J.B. STESSENSSTRAAT 2;2440;GEEL;014/57.77.77;www.ziekenhuisgeel.be;N;V;Antwerpen;Geel;Algemeen ziekenhuis;Openbaar;;;;;81;;100;15;45;;;;;;23;;;30;;;;;;;;;;;294;;De 30 S2- bedden worden uitgebaat in associatie met het H. Hartziekenhuis, Mol (E. 102);X;X (1);;;;;;;X;;;;;X;;Associatie met UZA Edegem m.b.t. het cardiale zorgprogramma B3 en met de GZA- Ziekenhuizen Wilrijk (E. 099) & AZ Monica Deurne (E. 682) voor het deelprogramma B1-B2;;;;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;;X;;;;X;X;;X;X;;;;;
710;SP;3450;AZ KLINA;AZ KLINA;AUGUSTIJNSLEI 100;2930;BRASSCHAAT;03/650.50.50;www.klina.be;N;V;Antwerpen;Voorkempen;Algemeen ziekenhuis;Privaat;50;;;;157;;138;18;48;;;;;;40;;;;;;;;;;;;;;451;581;;X;X (1);Associatie met ZNA (E.009)- GZA (E.099) - UZA (E.300) ;X (Iridium Kankernetwerk Antwerpen);Associatie met Algemeen Ziekenhuis Sint-Jozef Malle (E. 536) ;;;;X;;;;;X;;;;;X;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;Alternerende werking met ZNA, Campus Jan Palfijn Merksem (E. 009);X;X;X;;;;
710;SS;6050;AZ KLINA;CODA HOSPICE;BREDABAAN 743;2990;WUUSTWEZEL;;;N;V;Antwerpen;Voorkempen;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710;SS;2450;AZ KLINA;DE MICK;PAPESTRAAT 30;2930;BRASSCHAAT;03/217.10.11;;N;V;Antwerpen;Voorkempen;;;;;;;;;;;;;;;;;;;;56;40;6;20;;;;;;;;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X (6 bedden);
712;SP;1320;AZ DIEST;STATIESTRAAT;STATIESTRAAT 65;3290;DIEST;013/35.40.11;www.azdiest.be;N;V;Vlaams-Brabant;Diest - Tienen;Algemeen ziekenhuis;Privaat;;;;;63;;74;;52;;;;;;;;;;;;;;;;;;;;189;229;;X;X (1);"Associatie met ""PET-CT Centrum Vesalius"" (E. 689)";;;;;;X;;;;;X;;;;;;;;X;;;;;;X;X;X;X;X;;X;;X;X;X;;;;;X;X;;X;;X;;;;
712;SS;1330;AZ DIEST;HASSELTSESTRAAT;HASSELTSESTRAAT 27-29;3290;DIEST;013/35.40.11;;N;V;Vlaams-Brabant;Diest - Tienen;;;;;;;;;;15;;;;;;;25;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;X;;;;;
713;SP;1610;AZ JAN PALFIJN;;WATERSPORTLAAN 5;9000;GENT;09/224.71.11;www.janpalfijn.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Openbaar;30;10;;;124;;95;21;122;;;;;;38;;29;;27;6;;23;;;;;;;525;;;X;X (1);Associatie met PET-CT Centrum zorgregio Gent/Eeklo/Deinze (E. 290);;;;;;X;;;;;X;;;;;;X;;;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;Alternerende werking met AZ Sint-Lucas Gent (E. 290);X;X;X;;;;
714;SP;3600;SINT-FRANCISKUS ZIEKENHUIS;;PASTOOR PAQUAYLAAN 129;3550;HEUSDEN;011/71.50.00;www.sfz.be;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis;Privaat;35;8;2;;82;;58;15;48;;;;;;20;;;;;;;;;;;;;;268;;De dienst neuro-psychiatrie (A- bedden, A1- plaatsen en A2- bedden) wordt uitgebaat in associatie met Virga Jesse Ziekenhuis Hasselt (243);X;X (1);Associatie met Limburgs PET-centrum (E.243 en E.371);;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;;X;;;;X;X;;X;X;X;;;;2020-08-03 00:00:00
715;SP;3650;SINT-TRUDO ZIEKENHUIS;;DIESTERSTEENWEG 100;3800;SINT-TRUIDEN;011/69.91.11;www.sint-trudo.be;N;V;Limburg;Sint-Truiden - Tongeren;Algemeen ziekenhuis;Privaat;;;;;93;;95;15;72;;;;;;15;;;20;;;;;;;;;;;310;;;X;X (1);Associatie met Limburgs PET-centrum (E.243 en E.371);;X;;;;X;;;;;X;;;;;;;;;X;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
716;SP;3670;AZ VESALIUS;AZ VESALIUS;HAZELEREIK 51;3700;TONGEREN;012/39.61.11;www.azvesalius.be;N;V;Limburg;Sint-Truiden - Tongeren;Algemeen ziekenhuis;Openbaar;;;;;76;;83;15;77;;;;;;15;;;30;;6;24;;;;;;;;326;326;;X;X (1);Associatie met Limburgs PET-centrum (E.243 en E.371);;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;;X;X;;;;X;X;;X;X;X;;;;
716;SS;3680;AZ VESALIUS;MEDISCH CENTRUM BILZEN;HOSPITAALSTRAAT 15;3740;BILZEN;089/41.01.11;;N;V;Limburg;Sint-Truiden - Tongeren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
717;SP;6120;ZIEKENHUIS MAAS EN KEMPEN ;;DIESTERSTEENWEG 425;3680;MAASEIK;089/50.50.50;www.zmk.be;N;V;Limburg;Lommel - Maaseik;Algemeen ziekenhuis;Privaat;;;;;50;;57;15;48;;;;;;23;;;20;;;;;;;;;;;213;;Associatie mbt. de gezamelijke exploitatie van 20 bedden S2 (locomotorische aandoeningen) met Mariaziekenhuis Noord-Limburg te Overpelt (E. 719);X;;Associatie met Limburgs PET-centrum (E.243 en E.371);;;;;;X;;;;;X;;;;;;;;X;;;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;2020-08-01 00:00:00
718;SP;3130;C.H.U. DE CHARLEROI ;HOPITAL CIVIL MARIE CURIE;CHAUSSE DE BRUXELLES 140;6042;LODELINSART;071/92.12.11;www.chu-charleroi.be;F;W;Hainaut;Charleroi;Hôpital général à caractère universitaire;Public;30;;;;109;135;161;27;24;;;;;;46;15;;;;;;;;;;;;;547;838;;X;X (1);;;X;Association avec CHU de Liège (A/707) et Hôpital Erasme Bruxelles (A/406);;;X;X;;;X;X;;;;;X;;;;X;X;;;X;X;;;;;;X;Association avec C.H.U. de Charleroi - Hôpital A. Vésale, Montigny-Le-Tilleul (A/325);X;X;X;X;X;;;X;X;;X;X (site Châtelet et site Espace Santé);X;;;;
718;SS;3140;C.H.U. DE CHARLEROI;VINCENT VAN GOGH -MARCHIENNE;RUE DE L'HOPITAL 55;6030;MARCHIENNE-AU-PONT;071/92.14.11;;F;W;Hainaut;Charleroi;;;161;30;;;;;;;;;15;5;;;;;;;;;;80;;;;;;;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
719;SP;3615;MARIAZIEKENHUIS NOORD-LIMBURG;;MAESENSVELD 1;3900;OVERPELT;011/82.60.00;www.mznl.be;N;V;Limburg;Lommel - Maaseik;Algemeen ziekenhuis;Privaat;45;8;;;100;;90;15;48;;;;;;21;;;;;6;;;;;;;;;333;;Associatie met Ziekenhuis Maas en Kempen Maaseik (E.717) betreffende gezamelijke exploitatie van 20 Sp- bedden locomotorische aandoeningen;X;X (1);Associatie met Limburgs PET-centrum (E.243 en E.371);;;;;;X;;;;;X;;;;;;;;;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
722;SP;2500;FOYER HORIZON;CENTRE DE SOINS ST. JOSEPH;RUE DE LA CLINIQUE 24;4850;MORESNET;087/78.90.04;www.inago.be;F;W;Liège;Verviers;Hôpital général;Public;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
723;SP;1470;CHIREC - HOPITAL SARE;STE. ANNE - ST. REMI;BD. J. GRAINDOR 66;1070;BRUXELLES--7;02/434.31.11;www.chirec.be;B;B;Brussel-Bruxelles;Bruxelles - Brussel;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;52;12;;;30;70;30;15;48;;;;;;26;;;44;;;;;;;;;;;327;614;;X;X (1);;;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;;X;;;;;;;;X;;;X;;X;X;;;;;;X;;X;X;X;X;;;;X;;;X;X;X;;X;;
723;SS;1770;CHIREC - HOPITAL SARE;CLINIQUE DE LA BASILIQUE;RUE PANGAERT 37-47;1083;BRUXELLES--8;02/434.21.11;;B;B;Brussel-Bruxelles;Bruxelles - Brussel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;X;;
