erk;campus_type;vestigingsnr;ziekenhuis;campus;adres;post;gemeente;telefoon;website;taal;gewest;provincie;ziekenhuisregio;soort_ziekenhuis;statuut;a;a1;a2;c;cd;d;e;g;ib_sga_volw;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;totaal_bedden;fusie-capaciteit;opmerkingen;ziekenhuisapotheek;medische_beeldvorming_met_scanner;magnetische_resonantie_tomograaf_nmr;pet_scanner;radiotherapie;dialysecentrum;zorgprogramma_cardiale_pathologie;zorgprogramma_reproductieve_geneeskunde_type_a-b;zorgprogramma_oncologie;zorgprogramma_oncologische_basiszorg;gespecialiseerd_oncologisch_zorgpr_voor_borstkanker;zorgprogramma_voor_kinderen;zorgprogramma_voor_de_geriatrische_patient_dienst_voor_geriatrie;zorgprogramma_voor_de_geriatrische_patient_geriatrisch_consult;zorgprogramma_voor_de_geriatrische_patient_dagziekenhuis_voor_de_geriatrische_patiënt;zorgprogramma_voor_de_geriatrische_patient_interne_liaison;zorgprogramma_voor_de_geriatrische_patient_externe_liaison;intensieve_zorg;lokale_neonatale_zorgen_nx;regionale_perinatale_zorg_px;pediatrische_liaison;spoedgevallen;mug;ziekenhuisbloedbank;palliatieve_zorg;chirurgische_daghospitalisatie;niet_chirurgische_daghospitalisatie;lokale_donorcoordinatie;ombudsfunctie;transplantatiecentrum;centrum_voor_menselijke_erfelijkheid;centrum_voor_zware_brandwonden;expertisecentrum_voor_comapatienten;mucoviscidosecentrum;dienst_anatomopathologie
152;SP;2910;CENTRE HOSPITALIER CHRETIEN;ST. JOSEPH LIEGE;RUE DE HESBAYE 75;4000;LIEGE-1;04/224.81.11;www.chc.be;F;W;Liège;Liège;Hôpital général;Privé;;;;105;65;67;;48;;;;;;44;;;;;;;;;;;;;;329;726;;Officine Hospitaliere;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN) (2);;;;"Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec C.H.U. de Liège ""Sart-Tilman"" - Liège)";;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;;;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
152;SS;2940;CENTRE HOSPITALIER CHRETIEN;NOTRE-DAME HERMALLE;RUE BASSE HERMALLE 4;4681;HERMALLE-SOUS-ARGENTEAU;04/374.70.00;;F;W;Liège;Liège;Hôpital général;;;;;;54;;;30;;;;;;;;;20;;6;;;;;;;;;110;;;;;;;;;Programme de soins pathologie cardiaque A;;;Programme de soins de base en oncologie;;;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
152;SS;2920;CENTRE HOSPITALIER CHRETIEN;ESPERANCE MONTEGNEE;RUE ST.-NICOLAS 447;4420;MONTEGNEE;04/224.91.11;;F;W;Liège;Liège;Hôpital général;;;;;70;12;30;67;;;;;;;;;;20;;;;;;;;;;;199;;;;;;;;;Programme de soins pathologie cardiaque A;;;Programme de soins de base en oncologie;;Programme de soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H. du Bois de l'Abbaye et de Hesbaye (site Seraing) - Seraing;;;Hospitalisation chirurgicale de jour;Hospitalisation non chirurgicale de jour;;;;;;;;
152;SS;2930;CENTRE HOSPITALIER CHRETIEN;NOTRE-DAME WAREMME;RUE DE SELYS LONGCHAMPS 4;4300;WAREMME;019/33.94.11;;F;W;Liège;Huy - Waremme;Hôpital général;;;;;;48;;;24;;;;;;;;;16;;;;;;;;;;;88;;;;;;;;;Programme de soins pathologie cardiaque A;;;Programme de soins de base en oncologie;;;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H. du Bois de l'Abbaye et de Hesbaye (site Joseph Wauters) - Waremme;;;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
158;SP;2960;CENTRE HOSPITALIER CHRETIEN;ST.-VINCENT;RUE FRANCOIS LEFEBVRE 207;4000;ROCOURT;04/239.41.11;www.chc.be;F;W;Liège;Liège;Hôpital général;Privé;75;;;;30;;;;;;;;;61;35;;;;;;;;;;;;;201;319;;Officine Hospitaliere;;;;;;Programme de soins pathologie cardiaque A et P;Programme de soins médecine de la reproduction B;;Programme de soins de base en oncologie;;;;;;;;;Soins néonatals locaux ;Soins Périnatals Régionaux;;;;;Soins Palliatifs;Hospitalisation Chirurgicale de jour;Hospitalisation non chirurgicale de jour;;;;;;;;
158;SS;2970;CENTRE HOSPITALIER CHRETIEN;STE. ELISABETH;RUE DU NAIMEUX 17;4802;HEUSY;087/21.31.11;;F;W;Liège;Verviers;Hôpital général;;;;;;74;;;24;;;;;;20;;;;;;;;;;;;;;118;;;;Imagerie médicale avec scanner;Imagerie médicale tomographe à resonance magnetique (RMN);;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;;Hospitalisation chirurgicale de jour;Hospitalisation non chirurgicale de jour;;;;;;;;
164;SP;3230;INTERCOM. HOSP. FAMENNE ARDENNE CONDROZ (I.F.A.C.);PRINCESSE PAOLA;RUE DU VIVIER 21;6900;MARCHE-EN-FAMENNE;084/21.91.11;www.vivalia.be;F;W;Luxembourg;Luxembourg;Hôpital général;Public;;;;36;52;32;15;24;;;;;;23;;;;;;;;;;;;;;182;278;;Officine Hospitaliere;Imagerie médicale avec scanner;Imagerie médicale tomographe à resonance magnetique (RMN);;;Centre de dialyse;Programme de soins pathologie cardiaque P;;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
164;SS;3720;INTERCOM. HOSP. FAMENNE ARDENNE CONDROZ (I.F.A.C.);STE. THERESE;RUE DE HOUFFALIZE 1;6600;BASTOGNE;061/24.01.11;;F;W;Luxembourg;Luxembourg;Hôpital général;;;;;36;;36;;24;;;;;;;;;;;;;;;;;;;;96;;;;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;;;;;;;;;;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);;;Hospitalisation Chirurgicale de Jour;;;;;;;;;
166;SP;3290;CLINIQUE MATERNITE STE.-ELISABETH;STE. ELISABETH;PLACE LOUISE GODIN 15;5000;NAMUR;081/72.04.11;www.cmsenamur.be;F;W;Namur;Namur - Dinant;Hôpital général;Privé;;;;139;10;71;16;;;;;;;52;;;;;;;;;;;;;;288;298;;Officine Hospitaliere;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN);;Radiothérapie (association avec Centre Hospitalier de Mouscron);Centre de dialyse;Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec Cliniques Universitaires (U.C.L.) - Mont-Godinne);;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;;Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de jour;;;;;;;;;
166;SS;2480;CLINIQUE MATERNITE STE.-ELISABETH;FOYER ST. FRANCOIS;RUE LOUIS LOISEAU 39A;5000;NAMUR;081/74.13.00;;F;W;Namur;Namur - Dinant;Hôpital général;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;SP;3240;CENTRE HOSPITALIER DE L'ARDENNE;LIBRAMONT;AVENUE DE HOUFFALIZE 35;6800;LIBRAMONT;061/23.81.11;www.vivalia.be;F;W;Luxembourg;Luxembourg;Hôpital Général;Public;;;;81;;70;15;60;;;;;;28;;25;32;;6;;;;;;;;;317;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;Centre de dialyse;Programme de soins pathologie cardiaque A, B1 et P (B1 = collaboration avec Cliniques Universitaires (U.C.L.) - Mont-Godinne;Programme de soins médecine de la reproduction B;Programme de soins d'oncologie (Association avec Clinique du Sud - Luxembourg - Arlon);;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
170;SP;1660;ALGEMEEN ZIEKENHUIS OUDENAARDE;;MINDERBROEDERSSTRAAT 3;9700;OUDENAARDE;055/33.61.11;www.azoudenaarde.be;N;V;Oost-Vlaanderen;Oudenaarde;Algemeen ziekenhuis;Openbaar;;;;58;;75;15;53;;;;;;10;;;24;;;;;;;;;;;235;;Associatie mbt. de gezamelijke exploitatie van de dienst pediatrie en materniteit met het Universitair Ziekenhuis te Gent;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen (Associatie met Universitair Ziekenhuis - Gent);dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
176;SP;1800;ALGEMEEN STEDELIJK ZIEKENHUIS;A.S.Z. AALST;MERESTRAAT 80;9300;AALST;053/76.41.11;www.asz-aalst.be;N;V;Oost-Vlaanderen;Aalst;Algemeen ziekenhuis;Openbaar;30;;;97;;98;24;60;;;;;;29;;;;;6;;;;;;;;;344;568;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;Associatie m.b.t. de gezamelijke exploitatie van de diensten radiotherapie met het UZ Brussel (erk. 143);;Zorgprogramma cardiale pathologie A, B, E en P (B = associatie met Universitair Ziekenhuis te Brussel);;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met het Onze Lieve Vrouw Ziekenhuis - Aalst;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
176;SS;1820;ALGEMEEN STEDELIJK ZIEKENHUIS;A.S.Z. GERAARDSBERGEN;GASTHUISSTRAAT 4;9500;GERAARDSBERGEN;054/43.21.11;;N;V;Oost-Vlaanderen;Aalst;Algemeen ziekenhuis;;;;;41;;59;;30;;;;;;10;;;;;;20;;;;;;;;160;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A ;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
176;SS;1810;ALGEMEEN STEDELIJK ZIEKENHUIS;A.S.Z. WETTEREN;WEGVOERINGSTRAAT 73;9230;WETTEREN;09/368.82.11;;N;V;Oost-Vlaanderen;Dendermonde;Algemeen ziekenhuis;;;;;;;;;24;;;;;;;;20;20;;;;;;;;;;;64;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A ;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
204;SP;1460;ALGEMEEN ZIEKENHUIS JAN PORTAELS;;GENDARMERIESTRAAT 65;1800;VILVOORDE;02/254.64.00;www.azjanportaels.be;N;V;Vlaams-Brabant;Vilvoorde - Dilbeek;Algemeen ziekenhuis;Privaat;30;;;115;;112;15;74;;;;;;24;;;30;;6;;;;;;;;;406;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A en P;Zorgprogramma reproductieve geneeskunde  A;Zorgprogramma oncologie;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
217;SP;1900;ALGEMEEN ZIEKENHUIS ST.-ELISABETH;;GODVEERDEGEMSTRAAT 69;9620;ZOTTEGEM;09/364.81.11;www.sezz.be;N;V;Oost-Vlaanderen;Oudenaarde;Algemeen ziekenhuis;Privaat;30;;;94;;111;25;24;;;;;;20;;;30;;;;;;;;;;;334;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A en P;Associatie met het A.Z. St. Lucas te Gent mbt. de gezamelijke exploitatie van het zorgprogramma reproductieve geneeskunde A, het zorgprogramma is gelokaliseerd in het A.Z. St. Lucas (campus St. Lucas) te Gent;Zorgprogramma oncologie;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
236;SP;4280;"REVALIDATIEZIEKENHUIS ""REVARTE""";;DRIE EIKENSTRAAT 659;2650;EDEGEM;03/210.60.60;www.revarte.be;N;V;Antwerpen;Antwerpen;Geriatrisch ziekenhuis;Privaat;;;;;;;;52;;;;;;;;;142;;;;;;;;;;;194;;;Ziekenhuisapotheek;;;;;;;;;;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;;;;;;;;Palliatieve zorgen ;;;;;;;;;;
241;SP;2450;KLINIEK DE MICK;;PAPESTRAAT 30;2930;BRASSCHAAT;03/217.10.11;www.demick.be;N;V;Antwerpen;Voorkempen;Gespecialiseerd ziekenhuis;Privaat;;;;;;;;;;;;;;;;;56;40;6;20;;;;;;;;122;;Associatie m.b.t. de gezamelijke exploitatie van 14 bedden Sp- palliatieve zorgen met A.Z. Klina (Campus Coda Hospice) - Brasschaat;Ziekenhuisapotheek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Expertisecentrum voor comapatiënten (6 bedden);;
242;SP;2350;CENTRE NEUROLOGIQUE ET DE READAPTATION FONCTIONNELLE;;CHAMPS DES ALOUETTES 30;4557;FRAITURE-EN-CONDROZ;085/51.91.11;www.cnrf.be;F;W;Liège;Huy - Waremme;Hôpital spécialisé;Privé;;;;;;;;;;;;;;;;;20;100;;;;;;;;;;120;;;Officine Hospitaliere;;;;;;;;;;;;;;;;;;;;;;;;Soins Palliatifs;;;;;;;;Centre d'expertise pour les patients comateux (5 lits);;
243;SP;3570;JESSAZIEKENHUIS;SALVATOR;SALVATORSTRAAT 20;3500;HASSELT;011/28.91.11;www.jessazh.be;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;Privaat;;;;119;;47;;119;;;;;;;;;;;7;;20;;;;;;;312;988;Associatie met St. Franciscusziekenhuis, Heusden (714) mbt de gezamelijke exploitatie van psychiatrische ziekenhuisdiensten 65 A- bedden, 18 a1- plaatsen en 2 a2- bedden;Ziekenhuisapotheek;Medische Beeldvorming met scanner (1);Medische beeldvorming met magnetische resonantie tomograaf (NMR) (1 toestel);;;;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;;;;;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
243;SS;3590;JESSAZIEKENHUIS;VIRGA JESSE;STADSOMVAART 11;3500;HASSELT;011/30.81.11;;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;;30;10;;165;;235;40;30;;;20;;;56;;;;;;;;;;;;;;586;;;;Medische Beeldvorming met scanner (2);Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);Pet- scanner ;Radiotherapiedienst (Limburgs Oncologisch Centrum);Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E en P;Zorgprogramma reproductieve geneeskunde A (wordt uitgebaat in associatie met het zorgprogramma reproductieve geneeskunde Type B van het Ziekenhuis Oost-Limburg te Genk);Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;Dienst anatomopathologie
243;SS;3580;JESSAZIEKENHUIS;ST. URSULA;DIESTSESTEENWEG 5;3540;HERK-DE-STAD;013/55.17.11;;N;V;Limburg;Hasselt - Genk;Algemeen ziekenhuis met universitair karakter;;;;;;;;;;;;;;;;;;55;35;;;;;;;;;;90;;;;Medische Beeldvorming met scanner (1);;;;;Zorgprogramma cardiale pathologie A ;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;Ziekenhuisbloedbank;;;;;;;;;Expertisecentrum voor comapatiënten (5 bedden);;
246;SP;3690;CLINIQUES DU SUD-LUXEMBOURG;ARLON;RUE DES DEPORTES 137;6700;ARLON;063/23.11.11;www.vivalia.be;F;W;Luxembourg;Luxembourg;Hôpital général;Public;;;;78;36;101;20;42;;;;;;30;;;;;;;;;;;;;;307;403;;Officine Hospitaliere;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN);;;;Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec Cliniques Universitaires (U.C.L.) - Mont-Godinne);;Programme de soins d'oncologie (Association avec Vivalia - Centre Hospitalier de l'Ardenne - Libramont);;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
246;SS;3700;CLINIQUES DU SUD-LUXEMBOURG;VIRTON;RUE DE HARNONCOURT 48;6762;SAINT-MARD;063/58.81.11;;F;W;Luxembourg;Luxembourg;Hôpital général;;30;;;;;;;;;;;;;;;;30;;6;30;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hospitalisation chirurgicale de jour;;;;;;;;;
247;SP;2770;CENTRE HOSPITALIER DE MOUSCRON;;AVENUE DE FECAMP 49;7700;MOUSCRON;056/85.85.85;www.chmouscron.be;F;W;Hainaut;Tournai - Mouscron;Hôpital général;Privé;30;6;;104;36;97;16;28;;;;;;18;;;;;;;20;;;;;;;355;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;Radiothérapie (Association avec Clinique Ste. Elisabeth à Namur);Centre de dialyse;Programme de soins pathologie cardiaque A, B1 et P (B1 = collaboration avec Cliniques Universitaires St. Luc - Bruxelles);;Programme de soins d'oncologie;;;Programme de soins pour enfants;Service de gériatrique;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
249;SP;3160;CENTRE DE SANTE DES FAGNES;;BOULEVARD LOUISE 18;6460;CHIMAY;060/21.88.11;www.csf.be;F;W;Hainaut;Charleroi;Hôpital général;Public;;;;30;30;30;15;16;;;;;;15;;;;;;;;;;;;;;136;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
254;SP;2730;CENTRE HOSPITALIER UNIVERSITAIRE AMBROISE PARE;;BOULEVARD KENNEDY 2;7000;MONS;065/39.21.11;www.hap.be;F;W;Hainaut;Mons;Hôpital général à caractère universitaire;Public;30;;;58;33;51;24;74;;;;;;20;;;20;20;6;;;;;;;;;336;;;Officine Hospitaliere;Imagerie médicale avec scanner ;;;;;Programme de soins pathologie cardiaque A et P;Programme de soins médecine de la reproduction A;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H.R. St. Joseph - Hôpital de Warquignies (site St. Joseph) - Mons;Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
257;SP;2980;KLINIK ST.-JOSEF;;KLOSTERSTRASSE 9;4780;SANKT-VITH;080/85.41.11;www.klinik.be;F;W;Lüttich;Verviers;Allgemein krankenhaus;Privé;30;8;;;75;;;;;;;;;10;;;;;;20;;;;;;;;143;156;;;Imagerie médicale avec scanner;Imagerie médicale tomographe à résonance magnetique (RMN);;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;;;;;;;;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;Fonction de médiateur;;;;;;
257;SS;2981;KLINIK ST.-JOSEF;HOPITAL DE JOUR  PSYCHIATRIQUE;VERVIERSER STRASSE 26;4700;EUPEN;087/59.83.07;;F;W;Lüttich;Verviers;Allgemein krankenhaus;;;7;;;;;;;;;6;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;SP;3260;CENTRE HOSPITALIER DE DINANT;ST. VINCENT;RUE ST.-JACQUES 501;5500;DINANT;082/21.24.11;;F;W;Namur;Namur - Dinant;Hôpital général;Privé;;;;35;41;70;15;30;;;;;;20;;;;;;;;;;;;;;211;235;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de jour;;;;;;;;;
264;SS;3270;CENTRE HOSPITALIER DE DINANT;STE. ANNE;RUE PONT D'AMOUR 50;5500;DINANT;082/22.40.44;;F;W;Namur;Namur - Dinant;Hôpital général;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;SP;1650;ALGEMEEN ZIEKENHUIS LOKEREN;;LEPELSTRAAT 2;9160;LOKEREN;09/340.81.11;www.azlokeren.be;N;V;Oost-Vlaanderen;Sint-Niklaas;Algemeen ziekenhuis;Openbaar;;;;55;;55;15;26;;;;;;19;;;;;;;;;;;;;;170;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;;Lokale donorcoördinatie;;;;;;;
266;SP;2710;CHR MONS - HAINAUT;ST. JOSEPH;AV. B. DE CONSTANTINOPLE 5;7000;MONS;065/38.55.11;www.chr-mw.be;F;W;Hainaut;Mons;Hôpital général;Privé;;;;67;6;105;16;24;;;;;;19;;;;;6;20;;;;;;;;263;511;;Officine Hospitaliere;Imagerie médicale avec scanner;Imagerie médicale tomographe à résonance magnetique (RMN);;;;Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec C.H.R. de Jolimont - Lobbes - Haine-Saint-Paul);;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;dienst voor geriatrie;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H.U. Ambroise Paré - Mons;;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
266;SS;2720;CHR MONS - HAINAUT;WARQUIGNIES;RUE DES CHAUFOURS 27;7300;BOUSSU;065/38.55.11;;F;W;Hainaut;Mons;Hôpital général;;;;;68;6;59;10;48;;;;;;17;;;20;20;;;;;;;;;;248;;;;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A, E et P;;Programme de soins d'oncologie;;;Programme de soins pour enfants;dienst voor geriatrie;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec RHMS - Clinique Louis Caty - Baudour et C.H. Hornu - Frameries (site Hornu);Banque de sang hospitalière;;Hospitalisation chirurgicale de jour;;;;;;;Centre d'expertise pour les patients comateux (6 lits);;
290;SP;1630;ALGEMEEN ZIEKENHUIS ST. LUCAS ;ST. LUCAS;GROENEBRIEL 1;9000;GENT;09/224.61.11;www.azstlucas.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;30;;;260;;234;35;33;;;;;;62;;;;;;;;;;;;;;654;805;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2 toestellen);Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);;Radiotherapie;Dialysecentrum;Zorgprogramma cardiale pathologie A, B1-B2 en P (Deelprogramma B1-B2 wordt uitgebaat in associatie met Universitair Ziekenhuis, Gent);Zorgprogramme reproductieve geneeskunde A ;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met A.Z. Jan Palfijn (campus Watersportbaan) - Gent;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
